# time slot,request num,vertex1,vertex2,edge num,flow in slot,in port,out port
0,0,0,1,0,6.000000,-1,0
1,0,0,1,0,5.000000,-1,0
0,2,0,1,0,13.000000,-1,0
0,2,0,1,0,6.000000,-1,0
1,2,0,1,0,6.000000,-1,0
1,7,0,1,0,7.000000,-1,0
1,7,0,1,0,7.000000,-1,0
0,3,1,0,1,10.000000,-1,0
1,3,1,0,1,9.000000,-1,0
0,4,1,0,1,4.000000,-1,0
0,4,1,0,1,3.000000,-1,0
1,9,1,0,1,11.000000,-1,0
1,9,1,0,1,3.000000,-1,0
0,1,0,2,2,11.000000,-1,1
1,1,0,2,2,10.000000,-1,1
1,4,0,2,2,4.000000,-1,1
0,4,0,2,2,3.000000,-1,1
0,6,2,0,3,6.000000,-1,0
1,6,2,0,3,5.000000,-1,0
0,7,2,0,3,7.000000,-1,0
1,7,2,0,3,8.000000,-1,0
1,2,1,3,4,13.000000,-1,1
1,2,1,3,4,6.000000,-1,1
0,2,1,3,4,6.000000,-1,1
0,5,1,3,4,11.000000,-1,1
1,5,1,3,4,4.000000,-1,1
0,5,1,3,4,6.000000,-1,1
0,9,3,1,5,11.000000,-1,0
0,9,3,1,5,10.000000,-1,0
1,10,3,1,5,11.000000,-1,0
1,10,3,1,5,10.000000,-1,0
0,8,2,3,6,4.000000,-1,1
1,8,2,3,6,3.000000,-1,1
0,11,3,2,7,21.000000,-1,1
1,11,3,2,7,20.000000,-1,1
